Год,Средняя зарплата,Средняя зарплата - Специалист тех. поддержки,Количество вакансий,Количество вакансий - Специалист тех. поддержки
2003,40929,87933,1070,1
2004,42761,30030,4322,14
2005,372027,43328,9364,22
2006,41089,34892,23057,36
2007,44214,38325,35341,76
2008,48536,38790,46657,96
2009,44810,36302,31081,45
2010,44648,41915,51686,88
2011,46478,46321,77413,120
2012,47924,38683,95147,194
2013,53506,40827,129472,256
2014,49197,45491,141481,254
2015,52046,41151,147698,206
2016,61101,63919,177431,325
2017,60929,44617,203791,299
2018,69227,57646,283688,392
2019,77751,51375,266918,509
2020,89007,66013,235818,454
2021,106617,58611,137310,279
2022,127610,66012,47549,64
